date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Nuclear,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2024-01-01T00:00:00,2024-01-01T00:00:00,5.156,174.41,1.718,2.533,3.537,7.361,0,2.197,0.348,0,15.162,45.496,9980.527,5.681,28.692,42.062,15.161,73.50540866434825,26.494591335651744
2024-01-01T01:00:00,2024-01-01T01:00:00,5.089,174.842,1.713,2.536,3.517,7.292,0,2.185,0.228,0,14.935,45.557,9911.179,5.344,28.783,41.752,14.935,73.65357136556882,26.346428634431174
2024-01-01T02:00:00,2024-01-01T02:00:00,5.042,175.026,1.689,2.569,3.518,7.32,0,2.179,0.21,0,14.916,44.89,9893.237,5.188,28.81,41.608999999999995,14.916000000000002,73.61167624944714,26.388323750552857
2024-01-01T03:00:00,2024-01-01T03:00:00,4.973,178.735,1.678,2.578,3.539,7.342,0,2.188,0.186,0,14.933,44.06,9929.172,4.674,28.394,40.619,14.933000000000002,73.11887960829493,26.88112039170507
2024-01-01T04:00:00,2024-01-01T04:00:00,4.929,179.45,1.693,2.617,3.539,7.324,0,2.188,0.1,0,14.844,44.697,9921.851,4.439,28.461,40.446,14.844000000000001,73.15246880086815,26.84753119913185
2024-01-01T05:00:00,2024-01-01T05:00:00,4.925,179.222,1.691,2.619,3.545,7.356,0,2.192,0.101,0,14.885,44.033,9936.383,4.623,28.39,40.557,14.885,73.1521229392879,26.847877060712094
2024-01-01T06:00:00,2024-01-01T06:00:00,4.932,181.916,1.695,2.502,3.582,7.344,0,2.195,0.083,0,14.899,44.209,9978.494,4.287,28.232,39.953,14.899000000000001,72.8378181287829,27.162181871217093
2024-01-01T07:00:00,2024-01-01T07:00:00,4.955,180.804,1.707,2.483,3.567,7.327,0,2.193,0.086,0,14.879,43.416,9962.831,3.896,28.889,40.223,14.879999999999999,72.99602562473913,27.003974375260874
2024-01-01T08:00:00,2024-01-01T08:00:00,4.989,176.525,1.695,2.504,3.565,7.329,0,2.199,0.014,0.543,14.802,44.942,9961.363,3.859,29.734,41.629000000000005,14.801999999999998,73.7697364923535,26.2302635076465
2024-01-01T09:00:00,2024-01-01T09:00:00,5.01,167.212,1.677,2.523,3.561,7.297,0,2.188,0.08,3.78,14.803,48.286,9914.887,3.235,29.944,44.492,14.803,75.03499451893076,24.96500548106923
2024-01-01T10:00:00,2024-01-01T10:00:00,5.036,159.608,1.717,2.499,3.638,7.309,0,2.198,0.035,7.391,14.897,51.085,10047.9,3.469,29.662,48.057,14.897000000000002,76.33669028179305,23.663309718206946
2024-01-01T11:00:00,2024-01-01T11:00:00,5.058,153.405,1.747,2.546,3.536,7.257,0,2.199,0.053,9.07,14.792,52.553,9946.948,3.571,29.804,50.049,14.792,77.18727348436947,22.812726515630544
2024-01-01T12:00:00,2024-01-01T12:00:00,5.091,155.623,1.764,2.478,3.534,7.289,0,2.198,0.072,8.692,14.857,53.493,9968.177,3.296,29.638,49.19500000000001,14.857,76.80478361331419,23.195216386685814
2024-01-01T13:00:00,2024-01-01T13:00:00,5.104,161.447,1.767,2.457,3.547,7.236,0,2.197,0.043,7.288,14.791,52.164,9962.782,3.279,28.791,46.919,14.79,76.03266946474582,23.967330535254177
2024-01-01T14:00:00,2024-01-01T14:00:00,5.131,171.775,1.769,2.381,3.722,7.281,0,2.192,0.512,4.878,15.476,49.942,10158.092,3.302,27.968,43.66,15.475999999999999,73.82981601731602,26.17018398268398
2024-01-01T15:00:00,2024-01-01T15:00:00,5.142,183.834,1.806,2.409,3.699,7.381,0,2.195,0.887,1.655,15.967,49.237,10194.516,3.809,26.472,39.487,15.968,71.20548192227933,28.794518077720678
2024-01-01T16:00:00,2024-01-01T16:00:00,5.148,191.802,1.906,2.37,3.708,7.887,0,2.321,1.248,0.093,17.071,50.717,10595.819,4.23,26.331,38.172,17.07,69.0995981318562,30.900401868143806
2024-01-01T17:00:00,2024-01-01T17:00:00,5.158,191.844,2.015,2.358,3.85,8.155,0,2.439,2.024,0,18.482,52.958,11037.675,4.448,27.09,39.054,18.483,67.87632306168204,32.12367693831795
2024-01-01T18:00:00,2024-01-01T18:00:00,5.185,191.169,2.059,2.372,3.844,8.16,0,2.356,2.852,0,19.271,51.748,10988.311,4.487,26.164,38.208,19.271,66.47297273786948,33.527027262130524
2024-01-01T19:00:00,2024-01-01T19:00:00,5.204,194.615,2.05,2.376,3.895,7.939,0,2.221,2.18,0,18.286,51.374,10827.248,4.588,25.181,37.349000000000004,18.285,67.13340762842867,32.86659237157134
2024-01-01T20:00:00,2024-01-01T20:00:00,5.203,200.207,1.999,2.374,3.901,7.747,0,2.179,0.803,0,16.629,49.933,10684.175,4.639,24.521,36.737,16.629,68.8397106772102,31.16028932278979
2024-01-01T21:00:00,2024-01-01T21:00:00,5.214,204.98,1.948,2.399,3.771,7.77,0,2.195,0.5,0,16.183,47.854,10536.525,4.655,22.951,35.219,16.183999999999997,68.51545629632511,31.484543703674877
2024-01-01T22:00:00,2024-01-01T22:00:00,5.204,209.398,1.827,2.453,3.795,7.668,0,2.203,0.36,0,15.853,48.102,10441.758,4.56,21.794,34.010999999999996,15.852999999999998,68.20752446654902,31.792475533450986
2024-01-01T23:00:00,2024-01-01T23:00:00,5.189,217.275,1.712,2.408,3.746,7.65,0,2.213,0.193,0,15.514,45.578,10307.653,3.724,20.606,31.927,15.514000000000001,67.29832845007483,32.70167154992517
2024-01-02T00:00:00,2024-01-02T00:00:00,5.138,219.342,1.635,2.402,3.621,7.306,0,2.203,0.067,0,14.833,43.454,9981.287,3.621,19.512,30.673000000000002,14.832,67.40577958466103,32.594220415338974
2024-01-02T01:00:00,2024-01-02T01:00:00,5.075,223.037,1.629,2.425,3.623,7.233,0,2.202,0.021,0,14.709,42.892,9950.314,3.767,18.637,29.904,14.708,67.03129202905048,32.96870797094952
2024-01-02T02:00:00,2024-01-02T02:00:00,5.016,223.303,1.653,2.448,3.593,7.299,0,2.201,0.086,0,14.831,42.352,9954.329,3.696,18.586,29.746,14.832000000000003,66.72798241284939,33.272017587150614
2024-01-02T03:00:00,2024-01-02T03:00:00,4.998,216.847,1.735,2.319,3.589,7.378,0,2.203,0.004,0,14.91,44.189,10032.455,4.017,20.021,31.355,14.908999999999999,67.77407919764829,32.22592080235172
2024-01-02T04:00:00,2024-01-02T04:00:00,4.969,207.028,1.771,2.34,3.587,7.481,0,2.196,0.029,0,15.064,45.825,10088.372,4.775,21.581,33.665,15.064,69.08617045291305,30.91382954708695
2024-01-02T05:00:00,2024-01-02T05:00:00,4.947,196.246,1.824,2.342,3.578,7.792,0,2.207,0.142,0,15.544,48.176,10245.317,5.096,24.278,36.663,15.543,70.22756005056891,29.7724399494311
2024-01-02T06:00:00,2024-01-02T06:00:00,4.974,188.838,1.923,2.327,3.534,8.216,0,2.348,0.249,0,16.269,52.135,10562.655,5.178,27.187,39.666,16.269999999999996,70.91318649885584,29.08681350114416
2024-01-02T07:00:00,2024-01-02T07:00:00,4.974,184.743,1.987,2.359,3.494,8.75,0,2.425,0.597,0,17.253,55.557,10833.201,5.191,28.863,41.387,17.253,70.5781036834925,29.4218963165075
2024-01-02T08:00:00,2024-01-02T08:00:00,5.028,185.809,2.067,2.361,3.528,9.482,0,2.631,0.847,0.095,18.555,58.083,11394.042,5.175,30.108,42.766999999999996,18.555,69.74169139949773,30.25830860050227
2024-01-02T09:00:00,2024-01-02T09:00:00,5.07,193.015,2.097,2.435,3.845,9.932,0,2.876,1.339,0.642,20.089,59.361,12162.09,5.188,29.588,42.923,20.089,68.11877102774075,31.88122897225925
2024-01-02T10:00:00,2024-01-02T10:00:00,5.106,199.653,2.109,2.419,4.166,9.987,0,2.971,0.792,1.545,20.025,61.762,12622.067,5.188,28.936,43.194,20.025000000000002,68.32439614672803,31.675603853271962
2024-01-02T11:00:00,2024-01-02T11:00:00,5.129,210.214,2.13,2.392,4.572,10.027,0,3.028,1.003,2.343,20.759,62.569,13119.43,4.359,27.428,41.650999999999996,20.759999999999998,66.73663296534265,33.26336703465736
2024-01-02T12:00:00,2024-01-02T12:00:00,5.156,216.73,2.113,2.407,5,10.142,0,3.048,2.111,2.857,22.415,63.716,13630.995,3.807,26.252,40.479,22.413999999999998,64.36169367020177,35.638306329798226
